time            X               S               e2              Y               L              
1.058116232e+02 5.923122527e+00 5.923122527e+00 1.369585165e-03 4.075507887e+00 4.075507887e+00
1.064128257e+02 5.909437244e+00 5.909437244e+00 1.363263049e-03 4.089199493e+00 4.089199493e+00
1.070140281e+02 5.895815046e+00 5.895815046e+00 1.356984592e-03 4.102827969e+00 4.102827969e+00
1.076152305e+02 5.882255498e+00 5.882255498e+00 1.350749385e-03 4.116393752e+00 4.116393752e+00
1.082164329e+02 5.868758176e+00 5.868758176e+00 1.344557073e-03 4.129897267e+00 4.129897267e+00
1.088176353e+02 5.855322638e+00 5.855322638e+00 1.338407230e-03 4.143338954e+00 4.143338954e+00
1.094188377e+02 5.841948479e+00 5.841948479e+00 1.332299491e-03 4.156719222e+00 4.156719222e+00
1.100200401e+02 5.828635264e+00 5.828635264e+00 1.326233459e-03 4.170038503e+00 4.170038503e+00
1.106212425e+02 5.815382582e+00 5.815382582e+00 1.320208759e-03 4.183297209e+00 4.183297209e+00
1.112224449e+02 5.802190023e+00 5.802190023e+00 1.314225015e-03 4.196495752e+00 4.196495752e+00
1.118236473e+02 5.789057171e+00 5.789057171e+00 1.308281849e-03 4.209634548e+00 4.209634548e+00
1.124248497e+02 5.775983640e+00 5.775983640e+00 1.302378916e-03 4.222713982e+00 4.222713982e+00
1.130260521e+02 5.762969012e+00 5.762969012e+00 1.296515834e-03 4.235734472e+00 4.235734472e+00
1.136272545e+02 5.750012888e+00 5.750012888e+00 1.290692240e-03 4.248696420e+00 4.248696420e+00
1.142284569e+02 5.737114874e+00 5.737114874e+00 1.284907782e-03 4.261600219e+00 4.261600219e+00
1.148296593e+02 5.724274578e+00 5.724274578e+00 1.279162117e-03 4.274446260e+00 4.274446260e+00
1.154308617e+02 5.711491619e+00 5.711491619e+00 1.273454902e-03 4.287234927e+00 4.287234927e+00
1.160320641e+02 5.698765616e+00 5.698765616e+00 1.267785802e-03 4.299966598e+00 4.299966598e+00
1.166332665e+02 5.686096195e+00 5.686096195e+00 1.262154482e-03 4.312641651e+00 4.312641651e+00
1.172344689e+02 5.673482962e+00 5.673482962e+00 1.256560588e-03 4.325260477e+00 4.325260477e+00
1.178356713e+02 5.660925559e+00 5.660925559e+00 1.251003807e-03 4.337823437e+00 4.337823437e+00
1.184368737e+02 5.648423618e+00 5.648423618e+00 1.245483816e-03 4.350330898e+00 4.350330898e+00
1.190380762e+02 5.635976775e+00 5.635976775e+00 1.240000292e-03 4.362783225e+00 4.362783225e+00
1.196392786e+02 5.623584655e+00 5.623584655e+00 1.234552890e-03 4.375180792e+00 4.375180792e+00
1.202404810e+02 5.611246905e+00 5.611246905e+00 1.229141302e-03 4.387523953e+00 4.387523953e+00
1.208416834e+02 5.598963171e+00 5.598963171e+00 1.223765215e-03 4.399813064e+00 4.399813064e+00
1.214428858e+02 5.586733096e+00 5.586733096e+00 1.218424313e-03 4.412048479e+00 4.412048479e+00
1.220440882e+02 5.574556328e+00 5.574556328e+00 1.213118281e-03 4.424230554e+00 4.424230554e+00
1.226452906e+02 5.562432520e+00 5.562432520e+00 1.207846811e-03 4.436359633e+00 4.436359633e+00
1.232464930e+02 5.550361327e+00 5.550361327e+00 1.202609598e-03 4.448436064e+00 4.448436064e+00
1.238476954e+02 5.538342406e+00 5.538342406e+00 1.197406355e-03 4.460460187e+00 4.460460187e+00
1.244488978e+02 5.526375420e+00 5.526375420e+00 1.192236820e-03 4.472432343e+00 4.472432343e+00
1.250501002e+02 5.514460031e+00 5.514460031e+00 1.187100687e-03 4.484352869e+00 4.484352869e+00
1.256513026e+02 5.502595906e+00 5.502595906e+00 1.181997677e-03 4.496222096e+00 4.496222096e+00
1.262525050e+02 5.490782716e+00 5.490782716e+00 1.176927511e-03 4.508040356e+00 4.508040356e+00
